# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3064 3 1024 66306 45770394 3 ./ath6k/AR6003/hw1.0/bdata.WB31.bin
DUPTYPE_FIRST_OCCURRENCE 3207 3 1280 66306 45773962 3 ./nvidia/gp102/acr/unload_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3207 3 1280 66306 45773822 3 ./nvidia/tu116/acr/unload_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3207 3 1280 66306 45775010 3 ./nvidia/tu102/acr/unload_bl.bin
DUPTYPE_WITHIN_SAME_TREE -3207 3 1280 66306 45773775 3 ./nvidia/gv100/acr/unload_bl.bin
DUPTYPE_FIRST_OCCURRENCE 3204 3 1280 66306 45773963 3 ./nvidia/gp102/acr/bl.bin
DUPTYPE_WITHIN_SAME_TREE -3204 3 1280 66306 45773776 3 ./nvidia/gv100/acr/bl.bin
DUPTYPE_WITHIN_SAME_TREE -3204 3 1280 66306 45773825 3 ./nvidia/tu116/acr/bl.bin
DUPTYPE_WITHIN_SAME_TREE -3204 3 1280 66306 45775013 3 ./nvidia/tu102/acr/bl.bin
DUPTYPE_FIRST_OCCURRENCE 3057 3 1792 66306 45770360 3 ./ath6k/AR6003.1/hw2.1.1/bdata.SD31.bin
DUPTYPE_WITHIN_SAME_TREE -3057 3 1792 66306 45770385 3 ./ath6k/AR6003/hw2.0/bdata.SD31.bin
DUPTYPE_WITHIN_SAME_TREE -3057 3 1792 66306 45770381 3 ./ath6k/AR6003/hw2.1.1/bdata.WB31.bin
DUPTYPE_WITHIN_SAME_TREE -3057 3 1792 66306 45770377 3 ./ath6k/AR6003/hw2.1.1/bdata.SD31.bin
DUPTYPE_WITHIN_SAME_TREE -3057 3 1792 66306 45770387 3 ./ath6k/AR6003/hw2.0/bdata.WB31.bin
DUPTYPE_WITHIN_SAME_TREE -3057 3 1792 66306 45770363 3 ./ath6k/AR6003.1/hw2.1.1/bdata.WB31.bin
DUPTYPE_FIRST_OCCURRENCE 3071 3 1792 66306 45770389 3 ./ath6k/AR6003/hw2.0/bdata.SD32.bin
DUPTYPE_WITHIN_SAME_TREE -3071 3 1792 66306 45770382 3 ./ath6k/AR6003/hw2.1.1/bdata.SD32.bin
DUPTYPE_FIRST_OCCURRENCE 2019 1 1859 66306 45775148 3 ./qca/nvm_usb_00000200.bin
DUPTYPE_WITHIN_SAME_TREE -2019 1 1859 66306 45775079 3 ./qca/nvm_usb_00000201.bin
DUPTYPE_FIRST_OCCURRENCE 1763 1 2140 66306 45772366 3 ./libertas/gspi8682_helper.bin
DUPTYPE_WITHIN_SAME_TREE -1763 1 2140 66306 45772374 3 ./libertas/gspi8688_helper.bin
DUPTYPE_WITHIN_SAME_TREE -1763 1 2140 66306 45772369 3 ./libertas/gspi8686_v9_helper.bin
DUPTYPE_FIRST_OCCURRENCE 2211 1 2304 66306 45776014 3 ./radeon/RV610_pfp.bin
DUPTYPE_WITHIN_SAME_TREE -2211 1 2304 66306 45776103 3 ./radeon/RV630_pfp.bin
DUPTYPE_WITHIN_SAME_TREE -2211 1 2304 66306 45776135 3 ./radeon/RV635_pfp.bin
DUPTYPE_WITHIN_SAME_TREE -2211 1 2304 66306 45776069 3 ./radeon/RV620_pfp.bin
DUPTYPE_WITHIN_SAME_TREE -2211 1 2304 66306 45776067 3 ./radeon/RV670_pfp.bin
DUPTYPE_FIRST_OCCURRENCE 3244 3 2496 66306 45774233 3 ./nvidia/gp107/gr/sw_nonctx.bin
DUPTYPE_WITHIN_SAME_TREE -3244 3 2496 66306 45774986 3 ./nvidia/gp108/gr/sw_nonctx.bin
DUPTYPE_FIRST_OCCURRENCE 676 1 2560 66306 45769865 3 ./amdgpu/psp_13_0_11_toc.bin
DUPTYPE_WITHIN_SAME_TREE -676 1 2560 66306 45769811 3 ./amdgpu/psp_13_0_4_toc.bin
DUPTYPE_FIRST_OCCURRENCE 1772 1 2616 66306 45772368 3 ./libertas/sd8682_helper.bin
DUPTYPE_WITHIN_SAME_TREE -1772 1 2616 66306 45773593 3 ./mrvl/sd8688_helper.bin
DUPTYPE_FIRST_OCCURRENCE 2130 1 3072 66306 45775421 3 ./radeon/CEDAR_rlc.bin
DUPTYPE_WITHIN_SAME_TREE -2130 1 3072 66306 45776010 3 ./radeon/JUNIPER_rlc.bin
DUPTYPE_WITHIN_SAME_TREE -2130 1 3072 66306 45776024 3 ./radeon/REDWOOD_rlc.bin
DUPTYPE_WITHIN_SAME_TREE -2130 1 3072 66306 45776052 3 ./radeon/CYPRESS_rlc.bin
DUPTYPE_FIRST_OCCURRENCE 2221 1 3392 66306 45775996 3 ./radeon/RV710_pfp.bin
DUPTYPE_WITHIN_SAME_TREE -2221 1 3392 66306 45775951 3 ./radeon/RV730_pfp.bin
DUPTYPE_FIRST_OCCURRENCE 3361 3 3856 66306 45773834 3 ./nvidia/tu116/gr/sw_nonctx.bin
DUPTYPE_WITHIN_SAME_TREE -3361 3 3856 66306 45774079 3 ./nvidia/tu117/gr/sw_nonctx.bin
DUPTYPE_FIRST_OCCURRENCE 3310 3 3856 66306 45775022 3 ./nvidia/tu102/gr/sw_nonctx.bin
DUPTYPE_WITHIN_SAME_TREE -3310 3 3856 66306 45774160 3 ./nvidia/tu106/gr/sw_nonctx.bin
DUPTYPE_FIRST_OCCURRENCE 1019 1 3980 66306 45770903 3 ./cirrus/cs35l41-dsp1-spk-prot-10280cbd-spkid0.bin
DUPTYPE_WITHIN_SAME_TREE -1019 1 3980 66306 45771264 3 ./cirrus/cs35l41-dsp1-spk-prot-10280cbd-spkid1.bin
DUPTYPE_FIRST_OCCURRENCE 2676 2 4100 66306 45772032 3 ./intel/vsc/ivsc_skucfg_ovti2740_0_1.bin
DUPTYPE_WITHIN_SAME_TREE -2676 2 4100 66306 45772022 3 ./intel/vsc/ivsc_skucfg_ovti9738_0_1.bin
DUPTYPE_FIRST_OCCURRENCE 2671 2 4100 66306 45772028 3 ./intel/vsc/ivsc_skucfg_ovti01a0_0_1.bin
DUPTYPE_WITHIN_SAME_TREE -2671 2 4100 66306 45772043 3 ./intel/vsc/ivsc_skucfg_ovti01af_0_1.bin
DUPTYPE_WITHIN_SAME_TREE -2671 2 4100 66306 45772034 3 ./intel/vsc/ivsc_skucfg_ovti01as_0_1.bin
DUPTYPE_FIRST_OCCURRENCE 2666 2 4100 66306 45772048 3 ./intel/vsc/ivsc_skucfg_hi556_0_1.bin
DUPTYPE_WITHIN_SAME_TREE -2666 2 4100 66306 45772042 3 ./intel/vsc/ivsc_skucfg_int3537_0_1.bin
DUPTYPE_FIRST_OCCURRENCE 2114 1 4200 66306 45775450 3 ./radeon/BONAIRE_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -2114 1 4200 66306 45775441 3 ./radeon/KABINI_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -2114 1 4200 66306 45776015 3 ./radeon/HAWAII_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -2114 1 4200 66306 45776150 3 ./radeon/MULLINS_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -2114 1 4200 66306 45775966 3 ./radeon/KAVERI_sdma.bin
DUPTYPE_FIRST_OCCURRENCE 1283 1 4280 66306 45770909 3 ./cirrus/cs35l41-dsp1-spk-prot-17aa38c7-spkid0-l1.bin
DUPTYPE_WITHIN_SAME_TREE -1283 1 4280 66306 45771300 3 ./cirrus/cs35l41-dsp1-spk-prot-17aa38c7-spkid0-r1.bin
DUPTYPE_FIRST_OCCURRENCE 1287 1 4360 66306 45770720 3 ./cirrus/cs35l41-dsp1-spk-prot-17aa38c8-spkid1-l1.bin
DUPTYPE_WITHIN_SAME_TREE -1287 1 4360 66306 45770681 3 ./cirrus/cs35l41-dsp1-spk-prot-17aa38c8-spkid1-r1.bin
DUPTYPE_FIRST_OCCURRENCE 334 1 4456 66306 45769825 3 ./amdgpu/bonaire_sdma1.bin
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45767546 3 ./amdgpu/kabini_sdma1.bin
